Goals,Yellow,Red,FreeKick,Eleven,Corner,Offside,OnTarget,OffTarget,Str,Result
0,3,0,7,0,0,2,1,2,0.5555555555555556,1
0,2,1,1,0,3,3,2,1,0.5222222222222223,0
2,1,0,1,1,2,1,1,1,0.4777777777777778,3
0,3,0,2,0,0,1,1,0,0.35555555555555557,0
2,1,0,3,0,0,4,4,2,0.6444444444444445,3
0,1,0,3,0,2,2,2,1,0.5,0
2,1,1,3,1,1,0,5,2,0.5,3
1,3,0,2,0,3,0,0,1,0.4444444444444444,1
1,2,1,2,0,0,2,3,2,0.5555555555555556,1
2,1,0,5,0,2,5,3,1,0.6222222222222222,3
0,1,0,1,0,0,0,1,0,0.37777777777777777,0
0,3,2,0,0,2,1,0,0,0.4444444444444444,1
0,0,0,4,0,0,1,2,1,0.5555555555555556,1
0,0,0,0,0,0,5,1,1,0.37777777777777777,0
4,1,0,1,0,3,1,4,1,0.6222222222222222,3
2,1,0,4,1,0,2,3,2,0.6,3
1,3,0,1,0,2,1,1,0,0.4,0
0,0,0,3,0,1,3,4,2,0.6222222222222222,0
1,2,1,1,0,3,3,0,2,0.37777777777777777,3
2,3,0,8,0,2,1,2,0,0.6,3
0,7,1,3,0,2,0,3,1,0.4,0
1,3,0,6,1,2,3,1,1,0.5666666666666667,0
2,2,0,3,0,0,1,3,1,0.43333333333333335,3
1,1,0,3,0,2,1,2,2,0.5666666666666667,3
0,3,0,2,0,1,4,1,0,0.43333333333333335,0
0,2,0,5,0,2,0,1,2,0.43333333333333335,1
0,3,0,4,0,0,0,1,1,0.5666666666666667,1
1,4,0,4,1,4,1,1,0,0.5888888888888889,1
1,4,0,6,0,1,0,0,0,0.4111111111111111,1
1,4,0,2,0,1,2,3,3,0.45555555555555555,0
2,3,0,4,0,0,2,3,1,0.5444444444444444,3
0,3,1,1,0,0,2,0,1,0.5111111111111111,1
0,1,0,4,0,1,1,2,1,0.4888888888888889,1
0,2,0,8,0,1,2,2,2,0.6111111111111112,1
0,3,2,1,0,1,2,0,0,0.3888888888888889,1
3,2,0,2,0,3,1,4,2,0.5555555555555556,3
0,2,1,1,0,1,1,0,3,0.4444444444444444,0
2,0,0,3,0,4,1,3,1,0.5,3
1,2,0,1,0,4,3,5,3,0.5,0
0,2,1,2,0,1,5,0,3,0.45555555555555555,0
2,0,0,4,0,3,5,3,1,0.5444444444444444,3
1,1,0,1,0,3,1,2,3,0.5111111111111111,3
0,0,0,0,0,1,4,1,2,0.4888888888888889,0
1,1,0,6,0,5,4,3,3,0.6,3
0,3,0,2,0,1,2,0,0,0.4,0
2,2,0,5,0,1,3,1,1,0.5444444444444444,3
1,4,0,3,0,1,3,0,0,0.45555555555555555,0
2,2,1,1,0,1,2,6,2,0.5666666666666667,3
0,1,0,4,0,2,2,2,0,0.43333333333333335,0
2,3,0,1,0,1,3,2,0,0.5555555555555556,3
1,1,0,2,0,1,2,4,1,0.4444444444444444,0
1,1,0,6,0,1,3,3,3,0.6777777777777778,3
0,3,0,3,0,0,0,0,0,0.32222222222222224,0
3,0,0,3,0,2,4,5,0,0.6666666666666666,3
0,0,0,2,0,0,2,1,0,0.3333333333333333,0
1,2,1,4,0,2,4,4,3,0.6888888888888889,1
1,2,0,1,0,2,0,0,1,0.3111111111111111,1
4,2,0,4,1,3,3,4,3,0.7111111111111111,3
0,0,1,1,0,1,3,0,0,0.28888888888888886,0
1,0,0,4,0,3,3,5,2,0.6888888888888889,3
0,1,1,0,0,1,1,1,1,0.3111111111111111,0
2,0,0,5,0,4,4,3,3,0.6111111111111112,3
0,1,0,1,0,0,3,1,0,0.3888888888888889,0
2,0,1,5,0,2,2,7,4,0.5333333333333333,3
0,1,0,0,0,0,2,0,0,0.4666666666666667,0
1,1,0,3,0,4,4,3,0,0.5444444444444444,3
0,1,1,0,0,2,4,0,0,0.45555555555555555,0
3,1,1,8,0,8,2,8,5,0.7777777777777778,3
0,2,1,2,0,0,1,0,0,0.2222222222222222,0
3,1,0,8,0,1,1,12,4,0.7333333333333333,3
0,5,0,2,0,0,0,1,0,0.26666666666666666,0
4,0,0,3,1,5,3,4,2,0.6444444444444445,3
0,4,0,1,0,0,2,1,0,0.35555555555555557,0
0,0,0,5,0,6,4,4,3,0.7222222222222222,0
1,3,0,0,0,0,4,1,0,0.2777777777777778,3
3,0,0,8,1,3,5,9,3,0.7666666666666667,3
0,3,1,3,0,0,2,0,0,0.23333333333333334,0
1,2,0,1,1,3,1,0,0,0.37777777777777777,1
1,1,0,3,0,3,3,5,2,0.6222222222222222,1
0,1,0,3,0,0,3,2,2,0.5555555555555556,0
1,3,1,6,0,1,0,4,2,0.4444444444444444,3
0,3,0,5,0,4,2,3,1,0.5444444444444444,1
0,4,0,4,0,3,1,3,0,0.45555555555555555,1
0,2,0,2,0,1,2,2,2,0.5222222222222223,0
1,0,0,4,0,2,3,3,1,0.4777777777777778,3
0,0,2,1,0,1,0,0,1,0.37777777777777777,0
2,1,1,2,0,3,3,1,2,0.6222222222222222,3
0,1,0,2,0,5,3,7,1,0.5777777777777777,1
0,3,0,1,0,4,2,1,0,0.4222222222222222,1
0,0,1,2,0,4,4,3,0,0.4666666666666667,1
0,2,0,2,0,3,4,1,3,0.5333333333333333,1
1,1,0,4,1,4,3,6,2,0.6888888888888889,3
0,2,0,1,0,1,1,1,0,0.3111111111111111,0
2,0,0,5,0,2,3,5,1,0.6,3
0,3,0,3,0,1,4,1,0,0.4,0
0,1,0,2,0,2,4,3,1,0.5777777777777777,1
0,1,0,0,0,0,2,0,0,0.4222222222222222,1
1,1,0,6,0,3,7,3,2,0.6555555555555556,3
0,4,0,2,0,1,2,0,0,0.34444444444444444,0
0,2,0,8,0,1,5,2,1,0.6444444444444445,0
1,6,0,1,0,2,3,1,0,0.35555555555555557,3
3,1,0,4,0,1,4,5,0,0.6333333333333333,3
1,2,0,1,0,2,0,2,1,0.36666666666666664,0
2,0,0,2,1,1,3,4,1,0.6,1
2,3,3,1,0,1,2,3,2,0.4,1
1,3,0,4,0,2,2,3,2,0.5777777777777777,1
1,2,0,2,0,0,1,2,1,0.4222222222222222,1
1,3,0,8,0,1,4,1,2,0.7,3
0,3,1,1,0,0,2,1,1,0.3,0
1,2,0,8,0,3,5,3,4,0.6777777777777778,3
0,6,0,4,0,0,1,0,0,0.32222222222222224,0
1,1,1,2,0,3,1,1,1,0.5777777777777777,1
1,3,0,2,0,1,2,2,2,0.4222222222222222,1
2,1,0,3,0,3,1,6,1,0.6555555555555556,3
1,3,0,2,0,0,1,1,1,0.34444444444444444,0
1,2,0,3,0,5,1,5,2,0.6333333333333333,3
0,1,0,3,0,1,4,1,2,0.36666666666666664,0
3,3,0,3,0,5,1,3,0,0.5555555555555556,3
0,1,0,5,0,0,3,0,0,0.4444444444444444,0
3,2,0,4,0,3,1,6,1,0.6111111111111112,3
2,2,0,4,1,0,2,2,0,0.3888888888888889,0
3,0,0,3,0,3,0,7,3,0.6555555555555556,3
1,1,0,0,0,2,4,1,0,0.34444444444444444,0
0,2,0,5,0,0,3,1,1,0.4777777777777778,0
1,3,0,1,0,1,2,1,1,0.5222222222222223,3
1,2,0,1,0,1,1,5,3,0.6888888888888889,3
0,1,1,2,0,1,2,0,0,0.3111111111111111,0
3,1,0,5,1,1,1,6,0,0.7444444444444445,3
1,1,0,0,0,1,1,1,2,0.25555555555555554,0
3,0,0,4,0,2,2,10,6,0.7888888888888889,3
0,3,1,0,0,1,0,1,0,0.2111111111111111,0
0,3,0,3,0,2,5,5,3,0.6777777777777778,1
0,5,0,2,0,0,0,0,0,0.32222222222222224,1
2,1,0,7,0,5,2,2,0,0.6888888888888889,3
1,2,0,1,0,2,2,1,0,0.3111111111111111,0
6,0,0,4,0,2,2,10,1,0.7333333333333333,3
0,2,0,0,0,3,2,1,0,0.26666666666666666,0
3,1,0,3,1,4,2,7,0,0.7555555555555555,3
1,1,0,1,0,0,1,1,0,0.24444444444444444,0
3,1,0,4,0,4,2,5,2,0.6888888888888889,3
0,2,2,2,0,0,1,0,1,0.3111111111111111,0
1,1,0,8,0,1,4,5,3,0.6666666666666666,3
0,4,2,1,0,0,2,3,1,0.3333333333333333,0
3,1,0,9,0,6,5,4,3,0.7222222222222222,3
0,3,1,0,0,0,0,0,1,0.2777777777777778,0
7,2,0,6,1,2,4,10,3,0.7777777777777778,3
0,5,1,2,0,0,0,1,0,0.2222222222222222,0
4,0,0,3,0,2,6,12,3,0.7888888888888889,3
0,2,0,0,0,2,0,0,0,0.2111111111111111,0
1,1,0,7,0,4,3,9,2,0.6777777777777778,3
0,3,0,0,0,1,1,2,0,0.32222222222222224,0
3,2,0,3,1,5,1,9,2,0.7444444444444445,3
0,3,0,2,0,1,0,0,0,0.25555555555555554,0
1,0,0,4,0,3,9,6,2,0.7444444444444445,3
0,1,0,0,0,0,4,0,1,0.25555555555555554,0
1,3,1,3,0,0,1,2,0,0.5777777777777777,1
1,1,1,7,0,4,0,0,0,0.4222222222222222,1
2,2,0,3,0,1,6,6,4,0.6444444444444445,3
0,3,0,0,0,1,2,0,1,0.35555555555555557,0
1,1,0,3,0,2,1,1,3,0.5888888888888889,1
1,4,0,3,0,0,1,1,2,0.4111111111111111,1
0,2,0,6,0,2,2,2,8,0.5555555555555556,0
1,3,0,1,1,0,1,0,0,0.4444444444444444,3
1,1,0,5,0,1,2,1,2,0.4777777777777778,3
0,3,0,2,0,2,2,0,0,0.5222222222222223,0
2,0,0,9,0,1,1,5,2,0.7777777777777778,3
0,6,0,1,0,0,1,0,1,0.2222222222222222,0
1,1,0,5,0,5,5,2,1,0.6444444444444445,1
1,2,2,1,0,1,2,1,1,0.35555555555555557,1
2,5,0,4,0,2,0,7,2,0.5888888888888889,3
0,1,0,5,0,0,0,0,0,0.4111111111111111,0
2,0,0,5,0,4,6,13,6,0.7111111111111111,3
1,4,0,2,0,3,0,1,0,0.28888888888888886,0
4,0,0,8,0,1,1,11,2,0.7777777777777778,3
0,3,1,0,0,0,0,0,0,0.2222222222222222,0
1,1,0,4,0,2,0,1,2,0.5222222222222223,1
1,2,0,1,0,2,0,2,1,0.4777777777777778,1
3,2,0,6,0,1,1,7,0,0.5888888888888889,3
0,3,0,2,0,0,2,0,0,0.4111111111111111,0
4,2,0,5,0,3,3,6,4,0.7888888888888889,3
0,2,1,3,0,0,0,1,0,0.2111111111111111,0
2,2,0,4,1,1,1,3,3,0.7111111111111111,3
0,2,0,2,0,0,1,0,0,0.28888888888888886,0
2,3,0,3,0,3,4,6,1,0.7666666666666667,3
0,2,0,2,0,0,0,1,0,0.23333333333333334,0
3,1,0,2,0,6,4,7,1,0.7444444444444445,3
0,2,1,0,0,0,0,0,0,0.25555555555555554,0
1,2,0,4,1,0,4,0,2,0.6222222222222222,3
0,3,0,3,0,0,1,1,0,0.37777777777777777,0
6,1,0,7,2,4,6,3,2,0.7888888888888889,3
0,5,0,1,0,0,1,0,0,0.2111111111111111,0
1,2,0,5,0,1,1,5,1,0.6333333333333333,3
0,2,1,3,0,1,0,2,1,0.36666666666666664,0
0,2,0,3,0,0,4,3,2,0.4666666666666667,1
0,3,0,2,0,1,1,1,1,0.5333333333333333,1
1,1,0,5,0,1,5,4,1,0.6666666666666666,1
1,3,0,2,0,2,2,3,1,0.3333333333333333,1
1,0,0,1,0,1,5,1,2,0.3888888888888889,1
1,1,0,3,0,1,5,4,2,0.6111111111111112,1
2,1,0,3,0,2,3,4,1,0.6111111111111112,3
0,1,0,5,0,1,0,2,0,0.3888888888888889,0
2,0,1,2,0,2,6,4,0,0.5444444444444444,1
2,2,0,1,0,4,1,0,1,0.45555555555555555,1
1,2,0,6,0,2,2,3,0,0.5777777777777777,3
0,3,0,0,0,1,1,2,1,0.4222222222222222,0
3,0,0,4,1,6,3,3,1,0.6111111111111112,3
0,3,0,0,0,0,3,1,0,0.3888888888888889,0
2,1,0,5,0,5,6,1,2,0.7,3
0,5,0,1,0,1,2,0,0,0.3,0
2,2,0,6,0,1,1,5,0,0.5777777777777777,3
0,3,3,1,1,1,2,1,1,0.4222222222222222,0
1,2,0,5,0,2,2,3,1,0.5888888888888889,3
0,4,1,2,0,3,5,2,2,0.4111111111111111,0
2,3,0,6,1,2,4,1,5,0.5555555555555556,3
0,4,0,5,0,0,3,3,0,0.4444444444444444,0
3,1,0,7,0,2,4,3,1,0.7222222222222222,3
1,8,2,2,0,0,1,0,1,0.2777777777777778,0
2,2,1,4,1,4,4,10,3,0.6777777777777778,3
1,1,0,2,0,3,2,1,0,0.32222222222222224,0
0,2,0,6,0,2,2,4,2,0.6666666666666666,0
2,2,0,1,0,2,1,2,0,0.3333333333333333,3
0,1,1,5,0,2,1,0,0,0.4777777777777778,0
2,3,1,4,0,2,1,3,1,0.5222222222222223,3
3,3,0,3,0,1,2,5,3,0.6555555555555556,3
0,2,2,2,0,2,3,0,0,0.34444444444444444,0
0,5,0,0,0,0,0,2,0,0.2777777777777778,0
3,0,1,5,0,2,6,3,0,0.7222222222222222,3
2,1,0,8,0,3,2,4,2,0.5444444444444444,3
1,4,0,2,0,2,1,3,3,0.45555555555555555,0
2,2,0,2,0,1,1,4,1,0.4,3
1,3,0,2,0,1,1,4,2,0.6,0
2,0,0,3,0,3,1,3,2,0.6222222222222222,3
0,2,1,1,0,1,0,0,1,0.37777777777777777,0
1,1,0,6,1,2,4,6,1,0.5888888888888889,1
1,3,2,2,0,0,3,2,1,0.4111111111111111,1
1,1,0,5,0,4,1,2,0,0.5222222222222223,1
1,1,0,2,0,1,2,2,1,0.4777777777777778,1
1,0,0,4,0,1,0,3,3,0.6111111111111112,1
1,3,0,0,0,0,4,2,1,0.3888888888888889,1
2,1,0,5,1,3,1,3,5,0.6777777777777778,3
0,4,0,1,0,1,0,0,0,0.32222222222222224,0
0,1,0,3,0,3,3,2,0,0.5333333333333333,0
2,3,0,2,0,1,3,2,1,0.4666666666666667,3
0,2,0,3,0,1,4,2,1,0.5111111111111111,1
0,4,0,3,0,1,2,2,3,0.4888888888888889,1
2,3,0,4,0,2,2,3,0,0.4777777777777778,3
0,3,0,7,0,2,0,1,3,0.5222222222222223,0
2,0,0,3,0,2,1,0,0,0.4888888888888889,3
0,1,0,2,0,1,1,2,0,0.5111111111111111,0
2,3,0,1,0,2,2,2,1,0.6,3
1,3,0,2,1,1,0,0,1,0.4,0
0,2,0,0,1,0,3,0,0,0.4888888888888889,1
0,2,0,1,0,2,1,1,0,0.5111111111111111,1
1,3,0,5,0,3,3,1,1,0.5333333333333333,1
1,3,0,3,0,0,2,3,0,0.4666666666666667,1
0,3,1,9,1,0,6,2,1,0.6111111111111112,0
1,4,0,3,0,2,3,1,0,0.3888888888888889,3
1,2,1,4,0,0,1,4,1,0.5555555555555556,3
0,5,0,5,0,0,2,0,1,0.4444444444444444,0
0,5,1,2,0,0,1,2,0,0.43333333333333335,0
2,2,0,8,0,3,3,3,3,0.5666666666666667,3
1,0,0,5,0,3,6,5,3,0.7111111111111111,3
0,3,0,1,0,0,1,0,0,0.28888888888888886,0
1,1,0,4,0,4,3,5,3,0.6444444444444445,3
0,0,0,2,0,1,4,1,0,0.35555555555555557,0
1,3,0,3,1,1,0,3,1,0.6,1
1,3,0,3,0,1,5,0,1,0.4,1
3,1,0,6,1,1,5,3,0,0.6888888888888889,3
1,4,1,3,0,0,2,2,0,0.3111111111111111,0
6,1,1,3,0,3,4,8,1,0.7111111111111111,3
0,2,0,0,0,0,3,0,1,0.28888888888888886,0
4,1,0,4,2,4,2,2,2,0.6888888888888889,3
0,2,1,4,0,0,1,0,1,0.3111111111111111,0
1,1,0,4,0,3,2,1,0,0.5888888888888889,1
1,3,0,2,0,0,2,2,0,0.4111111111111111,1
2,3,1,1,0,3,1,6,2,0.6222222222222222,3
0,2,0,2,0,3,2,0,0,0.37777777777777777,0
2,2,0,4,0,1,5,4,4,0.5444444444444444,3
0,1,0,2,0,0,3,1,2,0.45555555555555555,0
2,1,0,6,0,4,2,6,2,0.6666666666666666,3
0,4,0,3,0,1,3,0,0,0.3333333333333333,0
1,2,0,4,0,4,3,4,2,0.6333333333333333,3
0,5,1,1,0,3,5,0,0,0.36666666666666664,0
2,0,0,3,0,3,1,5,4,0.6444444444444445,3
0,3,0,0,0,0,3,0,1,0.35555555555555557,0
0,2,0,6,0,2,4,4,3,0.6888888888888889,0
1,6,0,1,0,2,1,0,0,0.3111111111111111,3
0,2,0,1,0,0,4,2,0,0.32222222222222224,0
2,0,0,6,0,2,3,4,0,0.6777777777777778,3
1,1,1,5,0,1,2,3,2,0.5,1
1,4,0,0,0,1,0,1,2,0.5,1
0,3,0,4,0,2,4,2,0,0.5,0
2,1,0,4,0,1,3,3,1,0.5,3
0,1,0,2,0,3,0,0,0,0.4222222222222222,0
3,1,0,5,0,1,3,6,3,0.5777777777777777,3
4,1,0,7,0,1,3,3,1,0.7,3
1,6,0,0,0,0,1,1,1,0.3,0
2,1,0,2,0,2,1,4,2,0.6222222222222222,3
1,2,0,3,0,1,0,1,0,0.37777777777777777,0
0,3,2,5,0,0,1,2,1,0.5444444444444444,1
0,3,0,3,0,0,3,2,1,0.45555555555555555,1
0,3,0,2,0,1,1,0,0,0.4111111111111111,0
2,2,0,5,1,0,3,1,1,0.5888888888888889,3
2,1,1,2,1,1,1,6,1,0.6111111111111112,3
0,1,0,2,0,1,2,0,0,0.3888888888888889,0
2,0,0,2,0,2,5,2,1,0.5111111111111111,3
0,1,1,0,0,3,4,1,0,0.4888888888888889,0
2,0,0,4,0,2,2,7,1,0.6,3
0,2,0,2,0,1,0,0,1,0.4,0
1,1,0,1,0,1,0,1,1,0.5444444444444444,3
0,1,0,1,0,2,2,2,0,0.45555555555555555,0
1,0,0,2,0,2,2,2,4,0.5444444444444444,3
0,1,2,0,0,2,5,1,0,0.45555555555555555,0
1,2,0,4,0,1,0,2,0,0.4777777777777778,1
1,3,1,4,0,1,0,2,1,0.5222222222222223,1
1,0,1,7,1,1,2,5,3,0.6888888888888889,3
0,2,0,0,0,0,0,0,2,0.3111111111111111,0
1,0,3,5,1,0,1,1,4,0.5333333333333333,3
0,2,0,0,0,2,1,0,0,0.4666666666666667,0
1,3,1,5,0,5,2,4,1,0.6333333333333333,3
0,3,0,3,0,0,0,1,2,0.36666666666666664,0
3,1,0,4,0,3,3,7,3,0.7777777777777778,3
1,3,0,1,0,2,1,0,0,0.2222222222222222,0
4,0,0,7,1,2,5,6,1,0.7,3
1,5,0,1,0,1,0,1,1,0.3,0
2,2,0,2,0,1,1,3,3,0.6555555555555556,3
0,0,0,3,0,0,2,0,1,0.34444444444444444,0
2,1,1,5,0,0,2,2,2,0.5333333333333333,3
0,4,0,2,0,0,5,1,1,0.4666666666666667,0
0,1,0,8,0,2,2,4,2,0.6888888888888889,1
0,5,0,2,0,1,1,1,0,0.3111111111111111,1
3,1,0,3,0,2,5,7,0,0.6555555555555556,3
0,3,1,3,0,2,4,0,0,0.34444444444444444,0
1,1,0,6,0,4,3,4,1,0.7666666666666667,3
0,4,0,1,0,0,1,0,0,0.23333333333333334,0
3,4,0,1,0,2,1,5,1,0.6,3
0,1,0,3,0,0,0,1,0,0.4,0
0,1,0,1,0,1,0,2,2,0.6222222222222222,0
1,2,0,1,0,0,2,2,0,0.37777777777777777,3
2,3,0,3,0,2,2,2,6,0.6777777777777778,3
0,2,0,0,0,1,0,0,1,0.32222222222222224,0
1,2,1,3,0,0,2,0,0,0.36666666666666664,0
5,3,0,4,1,5,1,8,2,0.6333333333333333,3
0,4,0,2,0,0,1,0,0,0.3888888888888889,0
1,1,0,6,0,1,2,4,1,0.6111111111111112,3
2,2,0,1,0,2,0,1,0,0.45555555555555555,3
0,0,0,2,0,2,1,3,2,0.5444444444444444,0
1,1,0,4,0,2,1,0,2,0.5333333333333333,3
0,2,0,1,0,2,5,1,0,0.4666666666666667,0
0,4,2,2,0,1,2,0,0,0.3333333333333333,0
1,0,0,7,0,6,1,1,1,0.6666666666666666,3
0,3,0,4,0,2,4,1,1,0.37777777777777777,0
1,3,0,4,0,1,2,4,3,0.6222222222222222,3
1,0,0,4,0,2,1,3,0,0.45555555555555555,3
0,4,0,2,0,0,5,1,1,0.5444444444444444,0
0,2,0,1,0,1,0,1,2,0.37777777777777777,0
2,3,0,2,0,4,4,4,2,0.6222222222222222,3
0,5,0,2,0,1,1,1,1,0.45555555555555555,0
1,1,1,7,0,0,0,2,0,0.5444444444444444,3
0,3,0,4,0,0,2,0,0,0.43333333333333335,0
1,2,1,6,0,0,5,0,1,0.5666666666666667,3
0,9,1,3,0,2,0,0,0,0.37777777777777777,0
3,1,0,13,0,1,3,1,0,0.6222222222222222,3
0,5,0,2,0,1,3,3,1,0.36666666666666664,0
1,2,0,6,0,2,1,4,2,0.6333333333333333,3
0,0,0,3,0,2,6,1,1,0.5777777777777777,0
1,2,0,0,0,2,0,2,0,0.4222222222222222,3
4,1,0,3,0,1,0,4,2,0.5222222222222223,3
0,0,0,1,0,0,0,0,1,0.4777777777777778,0
0,1,1,4,0,1,1,3,3,0.5888888888888889,0
1,3,0,4,0,2,1,1,2,0.4111111111111111,3
2,2,1,6,0,0,3,4,2,0.5,3
1,5,0,5,1,6,1,0,1,0.5,0
1,2,0,4,0,1,3,2,0,0.5333333333333333,3
0,4,0,3,0,1,1,2,2,0.4666666666666667,0
2,5,0,2,0,1,3,1,0,0.4666666666666667,1
2,1,0,8,0,2,2,2,0,0.5333333333333333,1
1,6,0,2,0,1,0,1,0,0.4777777777777778,1
1,2,0,4,0,0,4,1,0,0.5222222222222223,1
2,2,0,7,0,0,3,5,1,0.6333333333333333,3
0,5,1,4,0,1,2,1,1,0.36666666666666664,0
0,5,2,3,0,1,2,4,0,0.5333333333333333,0
1,1,0,8,0,5,0,1,0,0.4666666666666667,3
0,2,1,0,0,3,4,3,0,0.5444444444444444,1
0,1,0,6,0,0,4,2,1,0.45555555555555555,1
0,4,0,5,0,3,4,4,3,0.6555555555555556,0
1,1,0,3,1,2,1,1,0,0.34444444444444444,3
3,3,0,4,0,1,3,3,0,0.5777777777777777,3
0,2,1,4,0,2,2,1,1,0.4222222222222222,0
1,5,1,6,0,3,1,0,1,0.6,3
0,4,0,5,0,0,0,3,0,0.4,0
1,4,1,4,0,0,2,1,0,0.5333333333333333,0
2,5,0,2,1,2,2,1,0,0.4666666666666667,3
2,2,1,3,0,4,2,4,1,0.5555555555555556,3
1,0,0,2,0,3,1,1,0,0.4444444444444444,0
1,0,1,4,0,2,0,1,0,0.5444444444444444,3
0,4,0,0,0,3,0,2,0,0.45555555555555555,0
1,2,0,1,0,2,1,2,2,0.5333333333333333,3
0,1,0,3,0,1,1,2,6,0.4666666666666667,0
2,2,1,7,0,2,3,2,1,0.6555555555555556,3
0,2,0,2,1,0,2,1,0,0.34444444444444444,0
0,1,1,3,0,4,5,3,1,0.6111111111111112,0
2,2,0,3,1,2,0,2,0,0.3888888888888889,3
2,4,0,3,0,2,0,2,0,0.43333333333333335,3
0,1,0,7,0,2,2,1,3,0.5666666666666667,0
2,4,0,1,0,3,4,3,1,0.6,3
1,2,0,7,0,1,3,0,1,0.4,0
1,0,1,4,1,3,3,3,1,0.5444444444444444,3
0,4,0,1,0,1,2,2,2,0.45555555555555555,0
0,4,1,4,0,0,2,2,0,0.4666666666666667,0
1,4,0,3,2,0,2,2,1,0.5333333333333333,3
0,2,1,3,0,1,4,0,1,0.4,0
2,1,0,4,0,2,3,4,3,0.6,3
2,1,0,4,0,2,0,2,0,0.5777777777777777,1
2,8,2,3,0,2,2,2,2,0.4222222222222222,1
1,2,0,5,0,2,0,0,1,0.5,1
1,3,0,6,0,3,1,2,1,0.5,1
0,5,0,6,0,1,4,0,0,0.43333333333333335,0
2,2,0,7,0,2,1,1,1,0.5666666666666667,3
0,1,0,5,0,1,0,0,1,0.4888888888888889,0
2,5,0,1,0,3,4,1,2,0.5111111111111111,3
0,5,0,3,0,0,2,0,0,0.4444444444444444,0
2,2,0,6,0,0,1,2,1,0.5555555555555556,3
3,5,0,9,0,1,1,4,0,0.4666666666666667,3
1,4,0,4,0,6,1,1,0,0.5333333333333333,0
2,3,1,2,0,0,0,3,1,0.3333333333333333,3
0,2,0,6,0,4,2,3,0,0.6666666666666666,0
1,3,0,5,1,0,3,1,1,0.32222222222222224,1
1,2,1,8,0,2,7,3,3,0.6777777777777778,1
0,2,0,2,0,2,2,1,2,0.4444444444444444,0
2,4,0,1,0,1,4,3,1,0.5555555555555556,3
2,0,1,1,0,2,1,4,1,0.6222222222222222,3
0,1,0,1,0,1,3,1,1,0.37777777777777777,0
